webAddress,address,price,PricePerSqaureMeter,numOfRooms,squareMeters
https://www.otodom.pl/pl/oferta/na-wzgorzach-54m2-3-osobne-pokoje-ID4homJ;Kraków, Wzgórza Krzesławickie, Na Wzgórzach;460 000 zł;8481 zł/m²;3 pokoje;54.24 m²
https://www.otodom.pl/pl/oferta/na-stoku-41m2-2-osobne-pokoje-po-remoncie-ID4hNqf;Kraków, małopolskie;415 000 zł;10 122 zł/m²;2 pokoje;41 m²
https://www.otodom.pl/pl/oferta/osiedle-zodiak-nowe-mieszkanie-41d-m41-ID4dVuK;Kraków, Bieżanów-Prokocim, ul. Mariana Domagały;472 410 zł;9000 zł/m²;3 pokoje;52.49 m²
https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-3-pok-w-spokojnej-okolicy-ID4joZP;Kraków, Prądnik Czerwony;419 000 zł;8551 zł/m²;3 pokoje;49 m²
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-42m2-ogrodek-bez-prowizji-ID4fPym;Kraków, Nowa Huta, Gustawa Morcinka;362 252 zł;8450 zł/m²;2 pokoje;42.87 m²
https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-bienczyce-nowa-huta-ID4l7kB;Kraków, Bieńczyce, os. Jagiellońskie;389 000 zł;8644 zł/m²;2 pokoje;45 m²
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-balkon-bez-prowizji-ID4fPyS;Kraków, Nowa Huta, Gustawa Morcinka;465 870 zł;8385 zł/m²;3 pokoje;55.56 m²
https://www.otodom.pl/pl/oferta/3-pokoje-40-m2-po-remoncie-os-na-wzgorzach-ID4kCES;Kraków, Wzgórza Krzesławickie;435 000 zł;10 767 zł/m²;3 pokoje;40.4 m²
https://www.otodom.pl/pl/oferta/gotowe-przy-mpk-pkp-zakup-pod-kredyt-2-okazja-ID4jBnm;Kraków, małopolskie;449 000 zł;6803 zł/m²;3 pokoje;66 m²
https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-w-nowej-inwestycji-ID4kRO1;Kraków, Prądnik Biały, ul. Kuźnicy Kołłątajowskiej;441 000 zł;10 976 zł/m²;1 pokój;40.18 m²
https://www.otodom.pl/pl/oferta/tanie-mieszkanie-w-krakowie-tylko-8-tys-za-metr-ID4l7h5;Kraków, Bieżanów-Prokocim, Złocień, Mariana Domagały;469 000 zł;8849 zł/m²;3 pokoje;53 m²
https://www.otodom.pl/pl/oferta/tanie-mieszkanie-w-krakowie-tylko-469tys-za-53m2-ID4l7h4;Kraków, Bieżanów-Prokocim, Złocień, Mariana Domagały;469 000 zł;8849 zł/m²;3 pokoje;53 m²
https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-krakow-ul-obozowa-ID4kRKe;Kraków, Dębniki, Ruczaj, ul. Obozowa;420 000 zł;9545 zł/m²;1 pokój;44 m²
https://www.otodom.pl/pl/oferta/nowa-cena-do-sprzedazy-mieszkanie-2-pokojowe-ID4kaXX;Kraków, Nowa Huta, Os. Stalowe 16;499 000 zł;11 341 zł/m²;2 pokoje;44 m²
https://www.otodom.pl/pl/oferta/pielegniarek-2-pokoje-loggia-1-pietro-do-negocjacj-ID4l2RW;Kraków, Krowodrza, ul. Prądnicka;499 000 zł;11 741 zł/m²;2 pokoje;42.5 m²
https://www.otodom.pl/pl/oferta/53-mkw-oferta-bezposrednia-bez-pcc-okazja-ID4l7b7;Kraków, Bieżanów-Prokocim;492 113 zł;9159 zł/m²;2 pokoje;53.73 m²
https://www.otodom.pl/pl/oferta/po-generalnym-remoncie-w-os-jagiellonskim-ID4kWTT;Kraków, Bieńczyce;455 000 zł;10 341 zł/m²;2 pokoje;44 m²
https://www.otodom.pl/pl/oferta/3-pokoje-do-wejscia-od-zaraz-blisko-komunikacji-ID4l4Sj;Kraków, Bieżanów-Prokocim;495 000 zł;9956 zł/m²;3 pokoje;49.72 m²
https://www.otodom.pl/pl/oferta/2-pokoje-aneks-ul-potrzask-bez-pcc-ID4l736;Kraków, Bieżanów-Prokocim, Potrzask;383 102,19 zł;9339 zł/m²;3 pokoje;41.02 m²
https://www.otodom.pl/pl/oferta/2-pokoje-aneks-ul-potrzask-bez-pcc-ID4l738;Kraków, Bieżanów-Prokocim, Potrzask;491 832 zł;9200 zł/m²;3 pokoje;53.46 m²
https://www.otodom.pl/pl/oferta/idealny-uklad-dwustronny-do-wejscia-od-zaraz-ID4kODq;Kraków, Mistrzejowice, os. Złotego Wieku;449 000 zł;8635 zł/m²;3 pokoje;52 m²
https://www.otodom.pl/pl/oferta/apartament-51m2-3-pokoje-bezposrednio-0-pcc-ID4l72E;Kraków, Bieżanów-Prokocim;469 709 zł;9331 zł/m²;3 pokoje;50.34 m²
https://www.otodom.pl/pl/oferta/wykonczone-mieszkanie-os-piastow-2016-rok-ID4kOgy;Kraków, Mistrzejowice;499 000 zł;11 341 zł/m²;2 pokoje;44 m²
https://www.otodom.pl/pl/oferta/osiedle-zodiak-mieszkanie-41d-m40-promocja-ID4dVu7;Kraków, Bieżanów-Prokocim, ul. Mariana Domagały;439 000 zł;8410 zł/m²;3 pokoje;52.2 m²
https://www.otodom.pl/pl/oferta/nowa-huta-na-wzgorzach-54m2-3-pokoje-ladne-zadbane-ID4kZkA;Kraków, Nowa Huta, os. Na Wzgórzach;457 000 zł;8426 zł/m²;3 pokoje;54.24 m²
